Id,Genre,Title,Author,Purchase,Member
128,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,02/02/1935,
129,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,18/02/1935,
130,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,07/08/1935,
131,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,13/08/1935,
132,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,09/11/1935,
133,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,24/12/1935,
134,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,29/04/1936,
135,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,24/06/1936,
136,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,05/07/1936,
137,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,19/07/1936,
138,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy;Fiction;Young Adult,05/08/1936,
139,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,05/08/1936,
140,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,09/09/1936,
141,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,09/09/1936,
142,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,14/09/1936,
143,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,12/10/1936,
144,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,09/12/1936,
145,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,02/01/1937,
146,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,04/01/1937,
147,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,06/01/1937,
148,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,08/01/1937,
149,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,06/02/1937,
150,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,24/02/1937,
151,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,29/03/1937,
152,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,06/04/1937,
153,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,19/04/1937,
154,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,02/07/1937,
155,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,18/07/1937,
156,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,10/08/1937,
157,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,12/09/1937,
158,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,21/09/1937,
159,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,03/10/1937,
160,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,13/10/1937,
161,A Brief History of Time,Stephen Hawking,History;Nonfiction;Physics;Science,16/10/1937,
162,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,12/11/1937,
163,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,18/11/1937,
164,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,20/11/1937,
165,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,30/11/1937,
166,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,17/01/1938,
167,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,03/03/1938,
168,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,09/04/1938,
169,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,17/05/1938,
170,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,04/07/1938,
171,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,05/10/1938,
172,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,14/10/1938,
173,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,14/10/1938,
174,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,16/10/1938,
175,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,18/11/1938,
176,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,13/04/1939,
177,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,15/04/1939,
178,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,13/07/1939,
179,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,07/09/1939,
180,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,10/10/1939,
181,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,10/10/1939,
182,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,11/11/1939,
183,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,12/11/1939,
184,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,27/11/1939,
185,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,26/12/1939,
186,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,02/01/1940,
187,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,15/01/1940,
188,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,28/05/1940,
189,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,03/06/1940,
190,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,13/06/1940,
191,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,18/07/1940,
192,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,14/08/1940,
193,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,25/09/1940,
194,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,26/10/1940,
195,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,31/10/1940,
196,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,17/11/1940,
197,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,26/11/1940,
198,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,22/01/1941,
199,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,03/02/1941,
200,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,02/03/1941,
201,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,04/04/1941,
202,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,01/05/1941,
203,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,28/05/1941,
204,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,10/07/1941,
205,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,07/09/1941,
206,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,21/09/1941,
207,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,28/11/1941,
208,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,11/12/1941,
209,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,16/12/1941,
210,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,26/12/1941,
211,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,29/12/1941,
212,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,19/01/1942,
213,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,22/02/1942,
214,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,16/03/1942,
215,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,24/03/1942,
216,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,24/03/1942,
217,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,10/06/1942,
218,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,01/07/1942,
219,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,26/07/1942,
220,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,09/08/1942,
221,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,12/08/1942,
222,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,04/09/1942,
223,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,08/09/1942,
224,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,16/09/1942,
225,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,21/09/1942,
226,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,04/10/1942,
227,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,13/12/1942,
228,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,08/01/1943,
229,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,21/01/1943,
230,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,29/01/1943,
231,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,30/04/1943,
232,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,01/05/1943,
233,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,02/08/1943,
234,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,18/09/1943,
235,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,31/10/1943,
236,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,04/11/1943,
237,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,18/12/1943,
238,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,03/02/1944,
239,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,12/04/1944,
240,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,01/06/1944,
241,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,24/08/1944,
242,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,16/10/1944,
243,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,28/10/1944,
244,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,05/12/1944,
245,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,16/12/1944,
246,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,18/01/1945,
247,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,21/01/1945,
248,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,03/02/1945,
249,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,04/02/1945,
250,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,28/02/1945,
251,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,04/03/1945,
252,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,24/03/1945,
253,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,07/05/1945,
254,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,11/05/1945,
255,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,03/06/1945,
256,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,22/07/1945,
257,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,29/07/1945,
258,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,30/10/1945,
259,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,06/03/1946,
260,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,27/04/1946,
261,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,17/05/1946,
262,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,01/06/1946,
263,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,08/09/1946,
264,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,03/12/1946,
265,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,19/12/1946,
266,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,17/01/1947,
