Id,Member,Date_Out,Date_In
26,MADP,12/08/2002,02/11/2002
273,SSVD,13/08/2002,27/09/2002
116,COVN,21/08/2002,10/10/2002
137,CHBZ,22/08/2002,03/11/2002
743,SSNA,26/08/2002,27/11/2002
55,SSOQ,27/08/2002,21/09/2002
426,PHQP,02/09/2002,14/11/2002
922,MABC,04/09/2002,19/10/2002
540,MAHK,06/09/2002,02/10/2002
392,COHD,06/09/2002,13/10/2002
574,GEFK,07/09/2002,07/12/2002
970,CHUA,07/09/2002,20/10/2002
193,FAOU,29/09/2002,26/10/2002
444,CHSA,01/10/2002,21/10/2002
273,FAFN,04/10/2002,01/12/2002
422,ENOK,07/10/2002,18/12/2002
630,MAVW,10/10/2002,25/12/2002
681,GEIO,14/10/2002,27/10/2002
640,FAZJ,14/10/2002,08/01/2003
530,MABW,20/10/2002,20/11/2002
66,FAUZ,23/10/2002,06/01/2003
900,ENUC,28/10/2002,06/11/2002
328,CHCX,30/10/2002,15/01/2003
224,COYX,01/11/2002,22/11/2002
260,MAGP,02/11/2002,12/11/2002
768,COHD,02/11/2002,11/11/2002
968,ENUE,05/11/2002,12/02/2003
450,MATD,20/11/2002,09/01/2003
188,COYX,22/11/2002,15/01/2003
843,SSVD,28/11/2002,22/12/2002
762,CHVE,30/11/2002,13/02/2003
649,CORF,02/12/2002,27/01/2003
234,SSLM,08/12/2002,01/03/2003
356,SSOK,11/12/2002,04/01/2003
310,MABC,15/12/2002,22/02/2003
116,MALW,16/12/2002,22/03/2003
194,BIBN,26/12/2002,23/02/2003
473,CHBZ,26/12/2002,01/02/2003
487,SSAM,28/12/2002,17/01/2003
156,FAVT,28/12/2002,02/03/2003
478,ENQV,02/01/2003,03/02/2003
762,GEVK,03/01/2003,09/02/2003
315,BIWZ,07/01/2003,06/03/2003
453,COOZ,16/01/2003,23/03/2003
525,SSKC,17/01/2003,25/02/2003
749,MABW,17/01/2003,27/01/2003
591,PHQP,19/01/2003,14/03/2003
318,ENUC,19/01/2003,31/01/2003
774,CHZA,22/01/2003,10/04/2003
167,MAHK,24/01/2003,07/04/2003
105,SSJM,29/01/2003,11/04/2003
247,GEMR,01/02/2003,24/02/2003
247,ENBL,05/02/2003,06/05/2003
571,CHQK,06/02/2003,01/04/2003
833,CHVR,14/02/2003,08/05/2003
140,GEOD,14/02/2003,06/05/2003
804,GEAW,18/02/2003,05/05/2003
440,ENQJ,23/02/2003,19/05/2003
637,GEJJ,26/02/2003,05/03/2003
433,SSPN,01/03/2003,19/05/2003
353,BICP,01/03/2003,04/03/2003
541,PHMR,04/03/2003,16/03/2003
585,CORF,05/03/2003,30/03/2003
162,BISI,05/03/2003,11/03/2003
312,GEPH,06/03/2003,09/06/2003
684,GEMR,08/03/2003,01/05/2003
378,SSKC,08/03/2003,08/05/2003
667,COVN,12/03/2003,31/05/2003
824,PHIW,12/03/2003,23/04/2003
982,ENUE,15/03/2003,16/03/2003
18,SSQT,17/03/2003,20/04/2003
803,MAZY,17/03/2003,02/04/2003
322,GEPN,19/03/2003,18/04/2003
729,BIHH,20/03/2003,24/05/2003
668,CHCX,21/03/2003,28/03/2003
716,GEXP,22/03/2003,29/04/2003
826,BIBN,05/04/2003,12/05/2003
358,GEDA,09/04/2003,21/05/2003
8,CHAZ,10/04/2003,15/05/2003
113,CHUA,13/04/2003,11/05/2003
327,FAGC,28/04/2003,13/07/2003
124,SSVT,01/05/2003,19/06/2003
650,PHMR,02/05/2003,08/07/2003
1001,SSOK,02/05/2003,13/05/2003
944,FAIF,03/05/2003,31/07/2003
134,SSJM,04/05/2003,04/08/2003
217,BIHX,09/05/2003,19/05/2003
851,ENHQ,09/05/2003,14/08/2003
682,FAPU,15/05/2003,04/08/2003
758,CHBZ,15/05/2003,09/07/2003
509,BIWZ,18/05/2003,16/07/2003
895,COHD,18/05/2003,12/07/2003
525,GEJG,24/05/2003,08/07/2003
543,GEOL,25/05/2003,20/08/2003
436,CHSA,29/05/2003,29/08/2003
610,FAWH,31/05/2003,27/06/2003
271,MAEQ,09/06/2003,18/06/2003
736,PHQP,10/06/2003,18/07/2003
514,ENUC,16/06/2003,19/06/2003
69,SSOQ,17/06/2003,23/06/2003
788,CHCX,21/06/2003,03/09/2003
976,SSVT,03/07/2003,07/07/2003
965,MAGP,11/07/2003,09/08/2003
793,COYX,13/07/2003,25/09/2003
248,GEJG,14/07/2003,12/08/2003
249,ENUC,14/07/2003,20/10/2003
929,CHVR,15/07/2003,11/09/2003
288,SSVD,22/07/2003,24/08/2003
625,GEPN,22/07/2003,22/08/2003
526,FAZJ,01/08/2003,08/11/2003
456,CHVE,02/08/2003,26/09/2003
662,COHD,04/08/2003,05/09/2003
870,MADP,05/08/2003,01/10/2003
829,MATD,12/08/2003,06/10/2003
474,ENUE,15/08/2003,22/09/2003
877,MAHK,17/08/2003,04/10/2003
965,ENQV,18/08/2003,18/10/2003
372,FAVT,21/08/2003,10/09/2003
830,GEPH,24/08/2003,24/11/2003
664,GEZP,25/08/2003,04/09/2003
793,GEFK,26/08/2003,22/11/2003
820,FAFN,27/08/2003,03/11/2003
155,SSOQ,31/08/2003,07/11/2003
546,ENOK,07/09/2003,16/12/2003
465,BISI,09/09/2003,22/11/2003
960,BIHX,13/09/2003,19/11/2003
263,SSQT,14/09/2003,17/09/2003
633,ENBL,21/09/2003,18/10/2003
932,FAOU,25/09/2003,07/11/2003
349,ENUE,27/09/2003,31/12/2003
293,GEMR,02/10/2003,03/12/2003
313,GEIO,03/10/2003,13/11/2003
218,CORF,04/10/2003,19/11/2003
951,CHVE,04/10/2003,31/12/2003
225,SSVT,11/10/2003,27/11/2003
85,MAVW,16/10/2003,06/01/2004
989,SSKC,16/10/2003,02/01/2004
572,PHIW,18/10/2003,02/11/2003
552,GEOD,19/10/2003,30/11/2003
17,CHAZ,27/10/2003,25/12/2003
153,FAWH,29/10/2003,21/01/2004
346,GEPN,31/10/2003,30/11/2003
164,BIHH,04/11/2003,04/02/2004
873,CHUA,04/11/2003,03/02/2004
70,SSNA,07/11/2003,11/02/2004
30,FAUZ,09/11/2003,28/01/2004
465,GEVK,09/11/2003,14/12/2003
143,FAPU,12/11/2003,16/02/2004
218,SSAM,19/11/2003,13/01/2004
70,CHBZ,19/11/2003,30/12/2003
919,SSPN,20/11/2003,03/01/2004
799,SSOK,20/11/2003,05/01/2004
435,CHCX,23/11/2003,09/02/2004
742,SSLM,29/11/2003,01/03/2004
145,GEDA,29/11/2003,26/01/2004
751,ENBL,30/11/2003,28/12/2003
574,GEJJ,02/12/2003,26/12/2003
116,ENHQ,04/12/2003,16/01/2004
337,BIBN,08/12/2003,26/12/2003
667,MABC,20/12/2003,19/03/2004
487,CHQK,27/12/2003,07/01/2004
219,GEAW,03/01/2004,26/01/2004
8,GEPN,05/01/2004,10/04/2004
183,MADP,06/01/2004,06/04/2004
718,GEJJ,11/01/2004,29/03/2004
521,MAZY,13/01/2004,12/03/2004
123,FAOU,15/01/2004,19/04/2004
58,MABW,18/01/2004,24/02/2004
766,BIBN,23/01/2004,13/02/2004
918,COVN,23/01/2004,07/03/2004
741,MALW,24/01/2004,31/01/2004
873,BICP,26/01/2004,30/04/2004
971,GEJG,01/02/2004,22/03/2004
684,SSVT,02/02/2004,04/03/2004
962,CHVR,05/02/2004,15/02/2004
951,SSKC,12/02/2004,11/05/2004
188,MATD,12/02/2004,15/03/2004
952,COYX,14/02/2004,03/04/2004
948,BIWZ,19/02/2004,02/03/2004
590,GEXP,28/02/2004,19/04/2004
165,CHVR,01/03/2004,26/04/2004
339,ENUC,03/03/2004,11/05/2004
823,FAZJ,04/03/2004,13/04/2004
943,FAVT,04/03/2004,22/04/2004
603,FAIF,10/03/2004,10/06/2004
431,ENQJ,17/03/2004,06/05/2004
472,PHMR,17/03/2004,26/04/2004
427,CHAZ,19/03/2004,02/04/2004
110,COOZ,21/03/2004,07/05/2004
639,SSLM,23/03/2004,20/04/2004
760,CHZA,23/03/2004,28/06/2004
340,MAEQ,23/03/2004,28/04/2004
367,GEPH,30/03/2004,17/04/2004
301,FAPU,31/03/2004,26/06/2004
316,GEIO,02/04/2004,06/05/2004
321,CHVE,04/04/2004,14/06/2004
361,FAGC,05/04/2004,18/04/2004
406,GEMR,09/04/2004,19/04/2004
460,PHIW,11/04/2004,03/06/2004
437,GEOD,13/04/2004,20/05/2004
614,SSVD,16/04/2004,21/05/2004
631,ENOK,18/04/2004,13/06/2004
619,GEZP,27/04/2004,03/08/2004
297,SSQT,28/04/2004,08/07/2004
961,GEFK,13/05/2004,17/08/2004
367,BIWZ,17/05/2004,01/07/2004
227,SSJM,17/05/2004,11/07/2004
1,ENUE,31/05/2004,07/06/2004
53,MABW,02/06/2004,02/09/2004
581,CHQK,07/06/2004,02/08/2004
546,SSOK,09/06/2004,23/08/2004
650,MALW,14/06/2004,13/08/2004
849,FAVT,14/06/2004,05/08/2004
9,MAGP,22/06/2004,23/08/2004
677,ENBL,24/06/2004,20/09/2004
82,SSVD,29/06/2004,19/09/2004
683,PHQP,30/06/2004,25/07/2004
288,SSOQ,01/07/2004,01/10/2004
165,CHBZ,03/07/2004,05/10/2004
531,GEDA,08/07/2004,29/09/2004
679,CHAZ,21/07/2004,09/08/2004
442,FAFN,29/07/2004,22/08/2004
922,GEAW,04/08/2004,15/10/2004
61,GEOL,05/08/2004,05/10/2004
959,BIHX,05/08/2004,02/11/2004
325,COHD,07/08/2004,18/09/2004
184,CHSA,10/08/2004,21/09/2004
110,GEOD,10/08/2004,17/11/2004
514,GEMR,11/08/2004,14/09/2004
882,ENUC,11/08/2004,28/09/2004
709,MADP,12/08/2004,16/11/2004
556,FAWH,13/08/2004,20/08/2004
451,FAIF,13/08/2004,18/08/2004
225,SSPN,15/08/2004,27/10/2004
878,GEJG,15/08/2004,02/11/2004
378,ENQV,24/08/2004,24/09/2004
152,MAZY,29/08/2004,16/09/2004
928,GEJJ,30/08/2004,06/09/2004
307,CHCX,03/09/2004,06/12/2004
546,PHQP,03/09/2004,10/12/2004
348,SSJM,10/09/2004,10/10/2004
26,SSNA,10/09/2004,15/10/2004
681,COOZ,12/09/2004,06/11/2004
979,FAOU,13/09/2004,11/12/2004
508,GEJJ,14/09/2004,17/09/2004
220,FAGC,19/09/2004,25/10/2004
47,MALW,19/09/2004,29/11/2004
291,FAUZ,26/09/2004,05/12/2004
201,SSLM,28/09/2004,20/12/2004
964,BIHH,30/09/2004,31/10/2004
30,MAHK,03/10/2004,04/11/2004
418,CORF,09/10/2004,29/11/2004
454,CHUA,12/10/2004,14/11/2004
505,CHVR,17/10/2004,11/01/2005
677,SSAM,29/10/2004,26/11/2004
889,BIBN,02/11/2004,15/12/2004
249,GEOL,02/11/2004,04/12/2004
680,BISI,09/11/2004,02/12/2004
3,ENQJ,10/11/2004,21/11/2004
605,GEVK,10/11/2004,09/01/2005
951,BIHX,14/11/2004,15/02/2005
938,ENHQ,16/11/2004,07/12/2004
180,BICP,20/11/2004,29/12/2004
395,COVN,23/11/2004,26/11/2004
164,BIWZ,25/11/2004,21/12/2004
530,CHVE,29/11/2004,30/11/2004
868,FAGC,03/12/2004,19/12/2004
842,MABC,11/12/2004,30/01/2005
845,ENHQ,15/12/2004,28/12/2004
735,GEJG,16/12/2004,10/01/2005
570,SSVT,17/12/2004,20/12/2004
551,PHMR,20/12/2004,10/02/2005
667,GEXP,22/12/2004,03/01/2005
292,ENBL,25/12/2004,25/02/2005
538,GEMR,26/12/2004,08/02/2005
667,CHUA,29/12/2004,05/01/2005
781,GEJJ,30/12/2004,26/03/2005
11,MAVW,02/01/2005,31/01/2005
756,COOZ,02/01/2005,03/03/2005
883,SSNA,05/01/2005,21/02/2005
697,MAEQ,10/01/2005,05/03/2005
862,FAZJ,11/01/2005,01/04/2005
957,FAFN,13/01/2005,30/03/2005
579,SSKC,13/01/2005,17/04/2005
208,MALW,14/01/2005,20/04/2005
286,MATD,26/01/2005,22/03/2005
831,COYX,29/01/2005,30/03/2005
749,BIWZ,01/02/2005,25/02/2005
834,SSOQ,02/02/2005,16/02/2005
591,SSOK,07/02/2005,04/04/2005
421,GEFK,13/02/2005,20/05/2005
884,GEPH,15/02/2005,07/04/2005
157,COVN,17/02/2005,28/05/2005
671,GEPN,18/02/2005,28/02/2005
814,GEIO,20/02/2005,01/03/2005
741,SSJM,22/02/2005,04/05/2005
959,FAWH,24/02/2005,09/05/2005
940,CHBZ,02/03/2005,08/04/2005
293,FAIF,04/03/2005,01/05/2005
270,GEVK,12/03/2005,26/05/2005
40,SSPN,13/03/2005,15/04/2005
171,SSVT,15/03/2005,09/05/2005
563,GEDA,18/03/2005,20/04/2005
435,ENQJ,19/03/2005,03/06/2005
488,COHD,24/03/2005,30/06/2005
812,ENOK,28/03/2005,05/06/2005
193,PHMR,29/03/2005,06/04/2005
872,MAHK,29/03/2005,06/05/2005
325,MAEQ,03/04/2005,27/05/2005
491,FAVT,03/04/2005,06/06/2005
555,BIHH,07/04/2005,16/07/2005
620,FAZJ,08/04/2005,11/06/2005
524,MATD,15/04/2005,30/05/2005
11,SSKC,18/04/2005,11/06/2005
728,BIHX,18/04/2005,24/06/2005
905,GEMR,19/04/2005,26/05/2005
170,GEIO,30/04/2005,06/08/2005
498,PHIW,05/05/2005,02/08/2005
612,ENUE,05/05/2005,28/06/2005
62,SSPN,06/05/2005,18/05/2005
634,BISI,10/05/2005,28/06/2005
298,FAWH,15/05/2005,26/05/2005
77,GEJJ,22/05/2005,20/08/2005
522,FAOU,24/05/2005,01/07/2005
938,GEOD,26/05/2005,28/05/2005
384,CHZA,29/05/2005,08/07/2005
671,ENQV,30/05/2005,07/08/2005
465,MAHK,31/05/2005,10/08/2005
538,CHQK,02/06/2005,28/06/2005
849,FAFN,03/06/2005,24/06/2005
1001,GEZP,05/06/2005,22/08/2005
936,FAPU,07/06/2005,25/08/2005
603,SSQT,07/06/2005,06/08/2005
204,SSPN,08/06/2005,03/07/2005
333,PHQP,08/06/2005,01/08/2005
465,GEVK,12/06/2005,10/09/2005
264,GEJG,18/06/2005,10/09/2005
801,MABW,19/06/2005,09/09/2005
982,MAGP,24/06/2005,29/06/2005
119,CHAZ,24/06/2005,20/09/2005
701,CHSA,25/06/2005,24/08/2005
98,SSVD,27/06/2005,19/07/2005
442,PHMR,02/07/2005,27/08/2005
793,FAGC,17/07/2005,30/09/2005
436,MAVW,19/07/2005,21/09/2005
33,MADP,24/07/2005,31/08/2005
79,SSVD,28/07/2005,08/09/2005
707,CHVR,30/07/2005,27/09/2005
544,PHIW,02/08/2005,11/08/2005
907,SSAM,03/08/2005,26/08/2005
130,FAWH,04/08/2005,24/08/2005
103,CHUA,07/08/2005,08/08/2005
485,ENHQ,08/08/2005,11/10/2005
458,SSLM,09/08/2005,14/10/2005
928,COOZ,12/08/2005,13/10/2005
359,SSOK,13/08/2005,12/11/2005
443,MAZY,23/08/2005,17/09/2005
514,PHIW,24/08/2005,01/11/2005
250,COVN,26/08/2005,09/09/2005
700,SSQT,02/09/2005,03/10/2005
587,ENUC,05/09/2005,07/10/2005
693,GEAW,16/09/2005,16/10/2005
41,FAUZ,16/09/2005,29/11/2005
575,ENUE,19/09/2005,02/11/2005
269,FAVT,19/09/2005,05/10/2005
62,BIWZ,26/09/2005,21/12/2005
469,BIHX,27/09/2005,24/10/2005
831,GEOL,08/10/2005,22/12/2005
655,GEOD,09/10/2005,25/12/2005
987,CHUA,10/10/2005,20/12/2005
416,GEXP,12/10/2005,26/10/2005
800,FAPU,13/10/2005,02/12/2005
311,SSJM,13/10/2005,25/10/2005
527,GEVK,16/10/2005,18/10/2005
307,ENBL,22/10/2005,26/12/2005
341,BIBN,01/11/2005,30/01/2006
701,GEPH,03/11/2005,11/11/2005
775,SSAM,04/11/2005,21/01/2006
475,PHQP,04/11/2005,21/01/2006
742,BIHH,06/11/2005,09/12/2005
595,MADP,06/11/2005,11/11/2005
786,SSVT,07/11/2005,18/12/2005
271,GEPN,09/11/2005,14/01/2006
741,FAZJ,10/11/2005,01/12/2005
351,SSPN,17/11/2005,30/11/2005
991,FAOU,17/11/2005,24/11/2005
325,CHVE,18/11/2005,15/02/2006
319,MADP,19/11/2005,28/01/2006
606,FAGC,26/11/2005,29/01/2006
394,CORF,27/11/2005,15/02/2006
499,GEMR,28/11/2005,13/12/2005
545,CHCX,30/11/2005,10/03/2006
1002,GEFK,01/12/2005,08/03/2006
501,ENHQ,02/12/2005,22/02/2006
378,BIHH,17/12/2005,23/01/2006
727,GEJJ,17/12/2005,06/02/2006
257,SSVT,18/12/2005,19/12/2005
884,BICP,29/12/2005,22/02/2006
514,COOZ,29/12/2005,10/01/2006
624,SSOQ,30/12/2005,19/01/2006
363,GEPH,30/12/2005,03/01/2006
392,MAVW,02/01/2006,31/03/2006
121,FAFN,03/01/2006,07/01/2006
512,COVN,04/01/2006,05/04/2006
899,MAZY,05/01/2006,21/02/2006
205,ENQJ,06/01/2006,22/02/2006
388,SSPN,09/01/2006,14/02/2006
970,GEAW,13/01/2006,22/02/2006
987,SSVT,14/01/2006,11/04/2006
893,MATD,16/01/2006,21/01/2006
314,MABC,18/01/2006,31/01/2006
888,SSNA,19/01/2006,27/03/2006
845,SSVD,22/01/2006,14/04/2006
145,MABW,23/01/2006,10/02/2006
562,BISI,24/01/2006,04/05/2006
464,COYX,26/01/2006,03/05/2006
215,MAGP,02/02/2006,18/04/2006
751,SSLM,06/02/2006,03/04/2006
408,ENOK,07/02/2006,25/02/2006
129,CHVR,12/02/2006,05/04/2006
320,FAUZ,16/02/2006,28/02/2006
8,MAHK,19/02/2006,21/05/2006
929,GEPN,22/02/2006,17/04/2006
120,MAEQ,24/02/2006,01/05/2006
547,ENUC,27/02/2006,28/05/2006
488,ENUE,01/03/2006,08/04/2006
306,GEXP,04/03/2006,08/04/2006
878,FAZJ,04/03/2006,30/05/2006
88,FAOU,05/03/2006,18/05/2006
225,FAFN,08/03/2006,10/04/2006
284,GEIO,11/03/2006,18/05/2006
55,SSKC,22/03/2006,26/05/2006
378,GEJG,26/03/2006,06/05/2006
644,MABC,28/03/2006,04/05/2006
28,GEZP,30/03/2006,16/06/2006
609,MALW,03/04/2006,26/05/2006
602,CHBZ,03/04/2006,13/05/2006
316,FAIF,07/04/2006,15/06/2006
465,GEDA,10/04/2006,14/05/2006
990,COOZ,10/04/2006,06/05/2006
105,FAWH,17/04/2006,10/07/2006
442,SSVD,17/04/2006,19/05/2006
551,GEFK,20/04/2006,21/04/2006
619,COHD,21/04/2006,24/07/2006
225,COVN,26/04/2006,06/06/2006
213,FAVT,26/04/2006,14/07/2006
346,PHMR,28/04/2006,15/06/2006
381,CHZA,29/04/2006,20/07/2006
164,CHAZ,06/05/2006,01/08/2006
170,CHQK,09/05/2006,10/08/2006
385,GEMR,13/05/2006,20/08/2006
675,BIBN,24/05/2006,26/07/2006
223,MATD,28/05/2006,14/06/2006
256,CHSA,11/06/2006,15/09/2006
363,FAPU,17/06/2006,04/07/2006
235,MATD,17/06/2006,30/07/2006
470,SSLM,18/06/2006,28/06/2006
295,ENBL,21/06/2006,28/08/2006
999,CHBZ,27/06/2006,04/10/2006
968,ENOK,02/07/2006,20/08/2006
649,FAIF,02/07/2006,28/09/2006
972,PHIW,11/07/2006,12/09/2006
357,BICP,12/07/2006,23/07/2006
230,FAOU,13/07/2006,19/10/2006
298,CHZA,21/07/2006,06/08/2006
874,FAFN,25/07/2006,22/08/2006
540,GEVK,25/07/2006,29/08/2006
199,ENQV,31/07/2006,24/10/2006
818,SSOQ,01/08/2006,03/09/2006
351,SSQT,03/08/2006,04/09/2006
123,CHUA,09/08/2006,30/08/2006
293,GEXP,12/08/2006,22/10/2006
552,GEOD,18/08/2006,04/10/2006
31,CHAZ,28/08/2006,11/09/2006
869,GEAW,31/08/2006,15/11/2006
690,MALW,31/08/2006,10/09/2006
508,SSJM,09/09/2006,27/11/2006
612,CHCX,10/09/2006,12/09/2006
141,MADP,14/09/2006,10/12/2006
670,GEJJ,16/09/2006,23/10/2006
365,SSOK,17/09/2006,26/09/2006
299,SSPN,26/09/2006,03/01/2007
61,BIHX,01/10/2006,19/10/2006
701,SSNA,01/10/2006,07/12/2006
574,GEFK,02/10/2006,25/12/2006
67,GEPH,08/10/2006,30/10/2006
604,FAPU,09/10/2006,08/01/2007
467,CHVR,14/10/2006,28/12/2006
501,ENUE,23/10/2006,30/11/2006
13,FAZJ,30/10/2006,03/01/2007
766,GEOD,31/10/2006,16/01/2007
678,MAGP,01/11/2006,16/01/2007
880,COVN,03/11/2006,02/01/2007
757,GEPN,06/11/2006,03/12/2006
925,MATD,11/11/2006,18/02/2007
914,BIWZ,15/11/2006,26/12/2006
423,COOZ,22/11/2006,17/01/2007
695,FAGC,27/11/2006,17/01/2007
664,COYX,27/11/2006,19/02/2007
37,GEZP,27/11/2006,04/12/2006
347,GEOL,30/11/2006,05/03/2007
736,SSOK,04/12/2006,08/03/2007
100,FAUZ,14/12/2006,20/12/2006
272,SSAM,16/12/2006,20/01/2007
140,MABW,24/12/2006,04/01/2007
276,BIHH,25/12/2006,21/03/2007
771,GEVK,31/12/2006,28/03/2007
736,MAZY,31/12/2006,21/01/2007
437,SSVD,31/12/2006,01/03/2007
266,PHQP,13/01/2007,20/01/2007
521,SSKC,15/01/2007,11/02/2007
676,CHVE,16/01/2007,28/02/2007
709,MADP,17/01/2007,06/03/2007
651,FAVT,18/01/2007,25/04/2007
762,CHCX,20/01/2007,08/02/2007
567,GEDA,20/01/2007,22/02/2007
700,ENQJ,23/01/2007,26/02/2007
54,GEZP,23/01/2007,03/02/2007
74,CORF,24/01/2007,03/05/2007
837,GEFK,24/01/2007,07/03/2007
949,BISI,24/01/2007,03/03/2007
356,ENQV,26/01/2007,17/03/2007
242,ENHQ,02/02/2007,23/03/2007
331,CHSA,08/02/2007,20/03/2007
291,SSVT,08/02/2007,18/04/2007
695,FAIF,08/02/2007,07/03/2007
93,ENOK,13/02/2007,02/05/2007
367,ENUE,13/02/2007,05/03/2007
853,MAHK,23/02/2007,25/04/2007
467,ENUC,23/02/2007,02/06/2007
