Id,Title,Author,Genre,Purchase,Member
47,Watership Down,Richard  Adams,Animals;Classics;Fantasy;Fiction;Young Adult,15/07/2001,
48,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,16/07/2001,
49,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,30/07/2001,
50,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,04/08/2001,CHZA
51,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,10/08/2001,
52,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,17/08/2001,
53,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,28/08/2001,
54,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,18/09/2001,
55,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,18/09/2001,
56,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,25/09/2001,
57,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,26/09/2001,FAOU
58,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,05/10/2001,
59,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,09/10/2001,GEAW
60,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,22/10/2001,
61,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,23/10/2001,
62,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,28/10/2001,
63,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,28/10/2001,
64,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,07/11/2001,
65,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,10/11/2001,
66,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,13/11/2001,
67,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,15/11/2001,
68,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,02/12/2001,
69,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,05/12/2001,ENUE
70,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,13/12/2001,
71,It,Stephen King,Fantasy;Fiction;Horror,19/12/2001,FAFN
72,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,14/01/2002,
73,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,21/01/2002,
74,It,Stephen King,Fantasy;Fiction;Horror,25/01/2002,GEOL
75,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,28/01/2002,
76,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,05/02/2002,ENBL
77,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,08/02/2002,
78,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,10/02/2002,SSLM
79,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,25/02/2002,
80,It,Stephen King,Fantasy;Fiction;Horror,03/03/2002,PHQP
81,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,09/03/2002,
82,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,15/03/2002,
83,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,15/03/2002,
84,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,18/03/2002,
85,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,19/03/2002,
86,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,14/04/2002,
87,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,16/04/2002,CHQK
88,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,30/05/2002,
89,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,30/05/2002,
90,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,03/06/2002,
91,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,15/06/2002,
92,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,19/06/2002,SSAM
93,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,25/06/2002,
94,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,02/07/2002,
95,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,24/07/2002,
96,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,06/08/2002,
97,Watership Down,Richard  Adams,Animals;Classics;Fantasy;Fiction;Young Adult,08/08/2002,SSOQ
98,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,19/08/2002,
99,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,10/09/2002,
100,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,10/09/2002,
101,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,13/09/2002,
102,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,26/09/2002,
103,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,02/10/2002,
104,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,03/10/2002,
105,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,15/10/2002,
106,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,23/10/2002,
107,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,06/11/2002,
108,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,19/11/2002,
109,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,19/11/2002,
110,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,07/12/2002,
111,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,07/12/2002,
112,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,18/12/2002,CHVE
113,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,20/12/2002,
114,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,25/12/2002,
115,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,03/01/2003,
116,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,12/01/2003,
117,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,12/01/2003,MATD
118,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,25/01/2003,
119,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,18/02/2003,
120,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,04/03/2003,
121,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,10/03/2003,
122,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,01/04/2003,
123,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,11/04/2003,
124,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,28/04/2003,
125,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,03/05/2003,
126,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy;Fiction;Young Adult,07/05/2003,BIBN
127,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,15/05/2003,
128,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,20/05/2003,
129,Watership Down,Richard  Adams,Animals;Classics;Fantasy;Fiction;Young Adult,28/05/2003,
130,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,29/05/2003,
131,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,05/06/2003,
132,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,28/06/2003,
133,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,16/07/2003,
134,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,21/07/2003,
135,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,27/07/2003,
136,It,Stephen King,Fantasy;Fiction;Horror,27/07/2003,
137,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,03/08/2003,
138,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,04/08/2003,
139,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,14/08/2003,SSVD
140,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,22/08/2003,
141,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,08/09/2003,
142,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,10/09/2003,
143,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,15/09/2003,
144,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,23/09/2003,
145,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,25/09/2003,
146,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,02/10/2003,
147,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,04/10/2003,CHZA
148,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,10/10/2003,
149,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,29/10/2003,
150,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,10/11/2003,MALW
151,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,12/11/2003,
152,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,12/11/2003,
153,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,25/11/2003,
154,Watership Down,Richard  Adams,Animals;Classics;Fantasy;Fiction;Young Adult,06/12/2003,
155,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,08/12/2003,
156,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,20/12/2003,
157,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,21/12/2003,
158,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,25/12/2003,
159,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,26/12/2003,
160,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,01/01/2004,PHIW
161,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,07/01/2004,
162,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,12/01/2004,
163,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,23/01/2004,
164,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,12/02/2004,
165,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,13/02/2004,
166,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,13/02/2004,
167,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,29/02/2004,
168,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,03/03/2004,FAGC
169,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,04/03/2004,
170,It,Stephen King,Fantasy;Fiction;Horror,10/03/2004,
171,It,Stephen King,Fantasy;Fiction;Horror,11/03/2004,
172,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,15/03/2004,
173,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,26/03/2004,
174,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,18/04/2004,
175,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,23/04/2004,
176,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,20/05/2004,
177,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,21/05/2004,
178,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,27/05/2004,
179,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,01/06/2004,
180,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,04/06/2004,
181,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,08/06/2004,
182,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,11/06/2004,ENQV
183,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,28/06/2004,
184,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,03/07/2004,
185,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,10/07/2004,
186,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,14/07/2004,
187,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,17/08/2004,GEDA
188,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,06/09/2004,
189,It,Stephen King,Fantasy;Fiction;Horror,09/09/2004,
190,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,01/10/2004,
191,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,07/10/2004,
192,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,12/10/2004,CHSA
193,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,26/10/2004,
194,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,26/10/2004,
195,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,03/11/2004,
196,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,09/11/2004,
197,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,18/11/2004,
198,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,19/11/2004,
199,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,26/11/2004,
200,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,01/12/2004,
201,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,11/12/2004,
202,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,13/12/2004,
203,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,27/12/2004,
204,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,28/12/2004,
205,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,29/12/2004,
206,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,07/01/2005,
207,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,07/01/2005,
208,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,09/01/2005,MAZY
209,It,Stephen King,Fantasy;Fiction;Horror,13/01/2005,
210,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,06/02/2005,
211,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,18/02/2005,MALW
212,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,22/02/2005,
213,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,23/03/2005,
214,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,29/03/2005,
215,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,13/04/2005,
216,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,17/04/2005,
217,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,27/04/2005,
218,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,22/05/2005,
219,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,23/05/2005,
220,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,29/06/2005,
221,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,30/06/2005,
222,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,01/07/2005,
223,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,04/07/2005,
224,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,17/07/2005,
225,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,28/07/2005,
226,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,06/08/2005,
227,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,13/08/2005,
228,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,26/08/2005,
229,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,01/09/2005,
230,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,02/09/2005,
231,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,06/09/2005,
232,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,08/09/2005,
233,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,12/09/2005,
234,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,26/09/2005,BICP
235,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,27/09/2005,
236,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,06/10/2005,
237,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,08/10/2005,
238,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,09/10/2005,
239,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,10/10/2005,
240,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,17/10/2005,
241,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,21/10/2005,
242,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,26/10/2005,
243,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,26/10/2005,BISI
244,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,08/11/2005,
245,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,09/11/2005,
246,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,16/11/2005,
247,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,24/11/2005,
248,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,07/12/2005,SSQT
249,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,08/12/2005,
250,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,15/12/2005,
251,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,23/12/2005,
252,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,26/12/2005,
253,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,30/12/2005,
254,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,04/01/2006,
255,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,04/01/2006,
256,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,13/01/2006,
257,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,30/01/2006,
258,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,11/02/2006,
259,A Brief History of Time,Stephen Hawking,History;Nonfiction;Physics;Science,17/02/2006,
260,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,23/02/2006,
261,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,24/02/2006,
262,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,26/02/2006,
263,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,12/03/2006,
264,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,10/04/2006,
265,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,22/04/2006,
266,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,26/04/2006,
